N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
122,하이트진로,"36,800",150,-0.41%,"5,000","25,809","70,134",9.58,"265,754",32.89,6.62,
123,대우건설,"6,170",70,-1.12%,"5,000","25,644","415,623",11.25,"1,026,483",5.29,16.47,
124,만도,"54,600",300,0.55%,"1,000","25,639","46,957",19.21,"254,409",15.34,9.31,
125,신세계,"256,000","3,000",-1.16%,"5,000","25,204","9,845",26.79,"65,289",8.21,8.54,
126,BNK금융지주,"7,720",30,-0.39%,"5,000","25,162","325,935",39.58,"690,532",3.18,8.76,
127,CJ,"83,100",0,0.00%,"5,000","24,246","29,177",17.5,"41,657",10.78,5.66,
128,두산퓨얼셀,"36,950",200,0.54%,100,"24,200","65,494",14.33,"389,555",348.58,1.69,
129,키움증권,"87,100",500,-0.57%,"5,000","22,837","26,220",24.62,"48,013",2.65,25.38,
130,대우조선해양,"21,100",350,-1.63%,"5,000","22,638","107,291",3.9,"477,924",-1.33,-55.86,
131,현대차우,"91,700",100,-0.11%,"5,000","22,335","24,357",57.15,"13,184",5.14,N/A,
132,영원무역,"50,400","1,850",3.81%,500,"22,333","44,311",28.55,"159,356",7.49,14.71,
133,KODEX 레버리지,"18,405",75,0.41%,0,"22,325","121,300",2.33,"21,487,017",N/A,N/A,
134,SK케미칼,"126,000","3,500",-2.70%,"5,000","22,202","17,621",18.66,"49,261",14.79,11.19,
135,후성,"23,950",250,1.05%,500,"22,179","92,607",8.56,"8,143,666",98.16,9.61,
136,한화생명,"2,520",25,-0.98%,"5,000","21,887","868,530",7.09,"2,147,825",1.84,10.79,
137,롯데정밀화학,"82,900",400,-0.48%,"5,000","21,388","25,800",20.02,"139,729",3.65,30.43,
138,녹십자,"181,000","1,000",-0.55%,"5,000","21,153","11,687",22.47,"17,896",17.17,10.3,
139,한화,"28,200",50,-0.18%,"5,000","21,138","74,959",15.76,"200,446",3.06,20.22,
140,효성첨단소재,"466,000","4,500",0.98%,"5,000","20,877","4,480",6.37,"14,334",8.33,54.69,
141,씨에스윈드,"48,400",100,-0.21%,500,"20,411","42,171",10.86,"176,800",30.23,10.13,
142,TIGER 미국나스닥100,"70,965",595,0.85%,0,"20,331","28,650",0.1,"158,301",N/A,N/A,
143,솔루스첨단소재,"66,000","2,000",3.13%,100,"20,189","30,590",5.52,"162,994",228.37,4,
144,현대로템,"18,300",150,-0.81%,"5,000","19,973","109,142",4.56,"317,755",30.05,5.01,
145,LG화학우,"252,500","3,000",1.20%,"5,000","19,414","7,689",70.74,"7,261",5.39,N/A,
146,대웅제약,"167,500","3,000",1.82%,"2,500","19,408","11,587",7.62,"36,106",78.71,4.39,
147,DL이앤씨,"50,100","1,300",-2.53%,"5,000","19,386","38,694",20.46,"328,580",3.7,N/A,
148,KODEX 단기채권PLUS,"103,885",0,0.00%,0,"19,303","18,581",0,"1,208,658",N/A,N/A,
149,휠라홀딩스,"31,550",550,1.77%,"1,000","19,167","60,752",38.1,"473,030",8.47,16.2,
150,LS,"59,400","1,200",-1.98%,"5,000","19,127","32,200",12.7,"61,152",6.89,8.15,
151,코오롱인더,"67,600","2,800",4.32%,"5,000","18,603","27,519",18.47,"385,411",10.67,8.2,
152,KODEX 200선물인버스2X,"2,655",10,-0.38%,0,"18,351","691,200",4.01,"137,862,699",N/A,N/A,
153,현대백화점,"78,100","1,000",1.30%,"5,000","18,277","23,402",19.15,"82,859",9.65,4.36,
154,현대위아,"66,500",700,1.06%,"5,000","18,085","27,195",7.18,"159,730",29.01,1.96,
155,TIGER 200,"34,935",85,0.24%,0,"18,061","51,700",0,"554,050",N/A,N/A,
156,TIGER 단기통안채,"100,850",0,0.00%,0,"17,896","17,745",0.66,"3,217,747",N/A,N/A,
157,효성,"82,600",400,-0.48%,"5,000","17,405","21,071",6.49,"18,942",3.97,18.04,
158,JB금융지주,"8,820",50,-0.56%,"5,000","17,374","196,983",41.95,"340,851",3.43,12.8,
159,KG스틸,"17,250",400,-2.27%,"5,000","17,252","100,009",0.8,"2,992,375",9.04,17.99,
160,대웅,"29,200",100,-0.34%,500,"16,977","58,142",4.57,"42,067",21.55,11.13,
161,롯데칠성,"182,500","7,000",-3.69%,500,"16,934","9,279",10.61,"43,955",11.68,9.96,
162,동국제강,"17,650",250,-1.40%,"5,000","16,844","95,433",21.63,"492,992",3.06,23.41,
163,농심,"274,000","3,500",-1.26%,"5,000","16,666","6,083",12.32,"46,264",16.7,4.73,
164,동원시스템즈,"57,000",300,-0.52%,"5,000","16,637","29,188",13.05,"17,479",38.49,6.95,
165,대덕전자,"33,050","2,100",6.79%,500,"16,332","49,417",15.89,"3,969,887",27,9.55,
166,LIG넥스원,"74,100","1,100",-1.46%,"5,000","16,302","22,000",9.92,"213,322",12.85,14.63,
167,한전KPS,"36,200",750,-2.03%,200,"16,290","45,000",5.48,"217,918",16.51,9.12,
168,오뚜기,"443,000","5,500",-1.23%,"5,000","16,267","3,672",12.16,"3,338",12.57,8.91,
169,한샘,"69,000",0,0.00%,"1,000","16,238","23,534",14.13,"49,790",29.03,9.1,
170,TIGER 미국S&P500,"12,995",90,0.70%,0,"16,120","124,050",0.41,"1,651,497",N/A,N/A,
171,효성티앤씨,"370,500","6,500",-1.72%,"5,000","16,034","4,328",10.09,"18,184",2.08,76.22,
172,코스모신소재,"51,900",900,1.76%,"1,000","15,615","30,087",7.94,"840,000",85.93,9.42,
173,일진하이솔루스,"42,600",800,1.91%,500,"15,469","36,313",2.2,"126,575",150,4.97,
174,신풍제약,"28,600",450,-1.55%,500,"15,154","52,985",6.07,"308,640",-136.19,-3.19,
175,KODEX 단기채권,"103,410",0,0.00%,0,"14,925","14,433",0,"555,090",N/A,N/A,
176,한미반도체,"15,050",550,3.79%,100,"14,887","98,920",5.6,"804,700",14.36,34.59,
177,LX인터내셔널,"38,250",600,-1.54%,"5,000","14,826","38,760",24.13,"272,795",4.23,22.49,
178,DGB금융지주,"8,740",70,0.81%,"5,000","14,783","169,146",49.39,"328,356",2.94,9.63,
179,아이에스동서,"47,850","1,950",-3.92%,500,"14,782","30,893",4.71,"78,066",14.08,8.69,
